symbol,current_price,high_price,low_price,open_price,previous_close,timestamp
AAPL,223.85,224.99,220.5601,221.39,221.53,2025-03-28 11:06:19.213822
MSFT,390.58,392.24,387.395,390.13,389.97,2025-03-28 11:06:19.679137
AMZN,201.36,203.79,199.2821,200.89,201.13,2025-03-28 11:06:20.147788
GOOGL,162.24,165.42,162.0,164.63,165.06,2025-03-28 11:06:20.586500
META,602.58,614.25,600.1,602.0,610.98,2025-03-28 11:06:21.038955
TSLA,273.13,291.85,271.8216,272.48,272.06,2025-03-28 11:06:21.480801
NVDA,111.43,114.45,110.66,111.35,113.76,2025-03-28 11:06:21.929032
AAPL,223.85,224.99,220.5601,221.39,221.53,2025-03-28 11:06:29.639586
MSFT,390.58,392.24,387.395,390.13,389.97,2025-03-28 11:06:30.075151
AMZN,201.36,203.79,199.2821,200.89,201.13,2025-03-28 11:06:30.523780
GOOGL,162.24,165.42,162.0,164.63,165.06,2025-03-28 11:06:30.976701
META,602.58,614.25,600.1,602.0,610.98,2025-03-28 11:06:31.416871
TSLA,273.13,291.85,271.8216,272.48,272.06,2025-03-28 11:06:31.855487
NVDA,111.43,114.45,110.66,111.35,113.76,2025-03-28 11:06:32.310873
AAPL,223.85,224.99,220.5601,221.39,221.53,2025-03-28 11:06:38.733371
MSFT,390.58,392.24,387.395,390.13,389.97,2025-03-28 11:06:39.179584
AMZN,201.36,203.79,199.2821,200.89,201.13,2025-03-28 11:06:39.623446
GOOGL,162.24,165.42,162.0,164.63,165.06,2025-03-28 11:06:40.065720
META,602.58,614.25,600.1,602.0,610.98,2025-03-28 11:06:40.238894
TSLA,273.13,291.85,271.8216,272.48,272.06,2025-03-28 11:06:40.692516
NVDA,111.43,114.45,110.66,111.35,113.76,2025-03-28 11:06:41.131725
AAPL,223.85,224.99,220.5601,221.39,221.53,2025-03-28 11:07:17.827210
MSFT,390.58,392.24,387.395,390.13,389.97,2025-03-28 11:07:18.270248
AMZN,201.36,203.79,199.2821,200.89,201.13,2025-03-28 11:07:18.725832
GOOGL,162.24,165.42,162.0,164.63,165.06,2025-03-28 11:07:19.169398
META,602.58,614.25,600.1,602.0,610.98,2025-03-28 11:07:19.615426
TSLA,273.13,291.85,271.8216,272.48,272.06,2025-03-28 11:07:20.073063
NVDA,111.43,114.45,110.66,111.35,113.76,2025-03-28 11:07:21.051864
AAPL,223.85,224.99,220.5601,221.39,221.53,2025-03-28 11:15:06.721927
MSFT,390.58,392.24,387.395,390.13,389.97,2025-03-28 11:15:07.206165
AMZN,201.36,203.79,199.2821,200.89,201.13,2025-03-28 11:15:07.699818
GOOGL,162.24,165.42,162.0,164.63,165.06,2025-03-28 11:15:08.190910
META,602.58,614.25,600.1,602.0,610.98,2025-03-28 11:15:08.677472
TSLA,273.13,291.85,271.8216,272.48,272.06,2025-03-28 11:15:08.650125
NVDA,111.43,114.45,110.66,111.35,113.76,2025-03-28 11:15:09.127139
AAPL,223.85,224.99,220.5601,221.39,221.53,2025-03-28 11:20:12.867111
MSFT,390.58,392.24,387.395,390.13,389.97,2025-03-28 11:20:13.329867
AMZN,201.36,203.79,199.2821,200.89,201.13,2025-03-28 11:20:14.269482
GOOGL,162.24,165.42,162.0,164.63,165.06,2025-03-28 11:20:14.207611
META,602.58,614.25,600.1,602.0,610.98,2025-03-28 11:20:14.653921
TSLA,273.13,291.85,271.8216,272.48,272.06,2025-03-28 11:20:15.105317
NVDA,111.43,114.45,110.66,111.35,113.76,2025-03-28 11:20:15.548014
AAPL,223.85,224.99,220.5601,221.39,221.53,2025-03-28 11:25:07.813335
MSFT,390.58,392.24,387.395,390.13,389.97,2025-03-28 11:25:08.285882
AMZN,201.36,203.79,199.2821,200.89,201.13,2025-03-28 11:25:08.764756
GOOGL,162.24,165.42,162.0,164.63,165.06,2025-03-28 11:25:09.235607
META,602.58,614.25,600.1,602.0,610.98,2025-03-28 11:25:10.320789
TSLA,273.13,291.85,271.8216,272.48,272.06,2025-03-28 11:25:10.785323
NVDA,111.43,114.45,110.66,111.35,113.76,2025-03-28 11:25:11.265006
